Video ID,Comment ID,comments,polarity,pol_cat
QNtW-Wttbhw,UgypNIlpEKCjPeoQktt4AaABAg,Jake  peralta  is  the  best  genius  slash  detective,1.0,1
QNtW-Wttbhw,Ugzf8JFmTi1QZGLu6ol4AaABAg,Pretty  sure  I  saw  this  exact  video  on  another  channel  a  while  ago,0.3333333333333333,1
QNtW-Wttbhw,Ugw0axCMdRlEqmzdTJB4AaABAg,Cool  motif      STILL  MURDER  ,0.35,1
QNtW-Wttbhw,Ugyr8vmRFXkX5XUpsGZ4AaABAg,Can  I  just  say  she,0.0,0
QNtW-Wttbhw,UgwWcWQzS5KQ9D6CZeh4AaABAg,Is  there  a  new  season  coming  or  something  ,0.13636363636363635,1
QNtW-Wttbhw,UgyBCGqA7Goi4TvK75J4AaABAg,I  think  you  mean  Jake  Sherlock  Peralta,-0.3125,-1
QNtW-Wttbhw,Ugx4Uj6---hNWcpnaAF4AaABAg,i  need  to  know  who  runs  this  channel  because  i  swear  they've  already  made  so  many  b99  compilations  and  they  still  manage  to  come  up  with  more,0.5,1
QNtW-Wttbhw,UgyfzlSWJQ4F7ZnQCgp4AaABAg,Shout  out  to  whoever  turned  up  the  AC  around  00  50  ,0.0,0
QNtW-Wttbhw,UgzEb1QCDMNQEJZkra94AaABAg,  I  m  way  too  sleep  deprived  to  deal  with  you  negativity  right  now        Jake  Peralta,0.2857142857142857,1
QNtW-Wttbhw,UgymslgUuxqejGgFvup4AaABAg,  God  I  love  this  job      and  that's  why  he  so  good  at  his  job    people,0.6,1
QNtW-Wttbhw,UgyOlpkI0XsvTVkc72N4AaABAg,I  don't  like  the  15  bald  hitchcock  thing  at  all  WHAT  ABOUT  MY  HUNKS  ,0.0,0
QNtW-Wttbhw,UgymH_2S9FzkAFXUPR94AaABAg,The  uppity  wave  accidentally  complete  because  latency  regretfully  concentrate  anenst  a  valuable  net    slim    tremendous  weasel,0.14444444444444446,1
QNtW-Wttbhw,UgyvIaIFwtRxur6W05p4AaABAg,ok  no  cap  though  that  dentist  dude  had  a  fucking  FLAWLESS  plan    if  only  he  didnt  slip  up    ,0.5,1
